rsi_period,rsi_overbought,rsi_oversold,atr_tp,atr_sl,total_profit,win_rate,max_drawdown
14,80,25,2,2.0,-0.004850000000000021,0.0,-0.004849999997531995
14,80,25,2,2.5,-0.004850000000000021,0.0,-0.004849999997531995
14,80,25,3,1.5,-0.004850000000000021,0.0,-0.004849999997531995
14,80,25,3,2.0,-0.004850000000000021,0.0,-0.004849999997531995
14,80,25,3,2.5,-0.004850000000000021,0.0,-0.004849999997531995
14,80,25,4,1.5,-0.004850000000000021,0.0,-0.004849999997531995
14,80,25,4,2.0,-0.004850000000000021,0.0,-0.004849999997531995
14,80,25,4,2.5,-0.004850000000000021,0.0,-0.004849999997531995
14,80,30,2,1.5,-0.004850000000000021,0.0,-0.004849999997531995
14,80,30,2,2.0,-0.004850000000000021,0.0,-0.004849999997531995
14,80,30,2,2.5,-0.004850000000000021,0.0,-0.004849999997531995
14,80,30,3,1.5,-0.004850000000000021,0.0,-0.004849999997531995
14,80,30,3,2.0,-0.004850000000000021,0.0,-0.004849999997531995
14,80,30,3,2.5,-0.004850000000000021,0.0,-0.004849999997531995
14,80,30,4,1.5,-0.004850000000000021,0.0,-0.004849999997531995
14,80,30,4,2.0,-0.004850000000000021,0.0,-0.004849999997531995
14,80,30,4,2.5,-0.004850000000000021,0.0,-0.004849999997531995
